OBJECTID,TICKET_NUMBER,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,VIOLATION_PROC_DESC,LOCATION,PLATE_STATE,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DESC,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM
81445540,273110412,2023/02/07 05:00:00+00,718,19,U.S. SUPREME COURT POLICE,USSCP,P322,PARK OVERTIME IN TIMED ZONE,UNIT BLK SECOND ST NE, ,,0,106,Dismissed,DISM NOI SUBM LATE,2023/03/01 05:00:00+00,25,0,0,0,0,0,0,399695.16,135836.61,38.89,-77.004,811012,2023/03/05 15:02:49+00
81445541,273110423,2023/02/07 05:00:00+00,723,19,U.S. SUPREME COURT POLICE,USSCP,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,100 BLK SECOND ST NE, ,,0,106,Dismissed,DISM NOI SUBM LATE,2023/03/01 05:00:00+00,100,0,0,0,0,0,0,399695.07,135958.82,38.891,-77.004,814796,2023/03/05 15:02:49+00
81445542,273123745,2023/02/01 05:00:00+00,1034,19,U.S. SUPREME COURT POLICE,USSCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,100 BLOCK EAST CAPITOL ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399590.92,135773.96,38.89,-77.005,814033,2023/03/05 15:02:49+00
81445543,273124320,2023/02/07 05:00:00+00,1840,19,U.S. SUPREME COURT POLICE,USSCP,P014,EMERGENCY NO PARKING,100 MARYLAND AVE NE, ,,0,0,Other,,,50,0,0,0,0,0,0,399512.7,135953.72,38.891,-77.006,149701,2023/03/05 15:02:49+00
81445544,273124331,2023/02/14 05:00:00+00,750,19,U.S. SUPREME COURT POLICE,USSCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,200 A ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399758.95,135899.41,38.891,-77.003,802496,2023/03/05 15:02:49+00
81445545,273124342,2023/02/24 05:00:00+00,904,19,U.S. SUPREME COURT POLICE,USSCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,200 A ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399758.95,135899.41,38.891,-77.003,802496,2023/03/05 15:02:49+00
81445551,274532543,2023/02/05 05:00:00+00,1925,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P055,NO PARKING ANYTIME,4340 CONNECTICUT AVE NW, ,,0,0,Other,,,30,0,0,0,0,0,0,394347.88,142038.72,38.946,-77.065,223153,2023/03/05 15:02:49+00
81445552,274532554,2023/02/07 05:00:00+00,1733,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P055,NO PARKING ANYTIME,4340 CONNECTICUT AVE NW, ,,0,0,Other,,,30,0,0,0,0,0,0,394347.88,142038.72,38.946,-77.065,223153,2023/03/05 15:02:49+00
81445556,274535214,2023/02/07 05:00:00+00,1809,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,5171 SOUTH DAKOTA AVE NE, ,,0,106,Dismissed,DISM NOI SUBM LATE,2023/02/25 05:00:00+00,250,0,0,0,0,0,0,400236.86,142826.56,38.953,-76.997,294607,2023/03/05 15:02:49+00
81445558,274535240,2023/02/08 05:00:00+00,1821,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,5171 SOUTH DAKOTA AVE NE, ,,0,0,Other,,,250,0,0,0,0,0,0,400236.86,142826.56,38.953,-76.997,294607,2023/03/05 15:02:49+00
81445560,274535413,2023/02/01 05:00:00+00,659,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,4200 CONNECTICUT AVE NW, ,,0,0,Other,,,25,0,0,0,0,0,0,394416.72,141805.02,38.944,-77.064,297694,2023/03/05 15:02:49+00
81445561,274535424,2023/02/01 05:00:00+00,659,58,UNVRSTY OF THE D.C. SECURITY POLICE,UDCS,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,4200 CONNECTICUT AVE NW, ,,0,0,Other,,,25,0,0,0,0,0,0,394416.72,141805.02,38.944,-77.064,297694,2023/03/05 15:02:49+00
